Lick,Start_Time,End_Time,Duration,Beats,Onset_Count,Activity_Score,Primary_Chord,All_Chords
1,0.5804988662131519,2.461315192743764,1.8808163265306121,4,12,1.0,E,"E, Em, Em, D7, D7, D7, D7, D7, Em, Em, Em, E, C, B, B, B, E7, B, B, Dm, Dm, Dm, Dm, Dm, B, B, Dm, Dm, Dm, Dm, Dm, E7, E, E, E, E, E, E, E, E, E, E"
2,2.461315192743764,4.992290249433107,2.5309750566893428,4,15,1.0,E,"E, E, E7, E, E, E, E, E, E, E, E, E, E, E, F, F, F, F, F, B, B, B, B, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, F, F, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E"
3,4.992290249433107,7.476825396825397,2.4845351473922905,4,16,1.0,E,"E, E, E, B, F, B, E, E, E, E, E, E, E, E, E, E7, E7, E, E, E, E, D, D, D, D, D, E, E, B, B, B, B, E7, E7, E7, F, F, E7, E7, E7, B, B, D, D, D, D, D, D, B, B, B, B, B, B, B, B"
4,7.476825396825397,10.00780045351474,2.5309750566893428,4,15,1.0,E,"B, B, B, E, E, E, E, B, B, Dm, Dm, F, F, F, F, F, F, D7, B, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, Fm, Fm, Fm, Fm, F, F, F, F, A, C, C, Em, E, E, E, E, E, E, E, E, E"
5,10.00780045351474,12.538775510204081,2.530975056689341,4,14,1.0,D,"E, E, E, E7, F, F, F, F, F, D, D7, F, F, D, D, Dm, Dm, D, B, B, B, D, Gm, A, Em, Em, E, E7, Dm, Dm, F, B, B, B, D, D, D, D, E, E, E7, E7, E7, E7, E7, E7, E7, E, D, D, D, B, B, B, Dm, Dm"
6,12.538775510204081,15.069750566893424,2.5309750566893428,4,16,0.9932952330799596,E,"Dm, Dm, Dm, B, B, B, D, Gm, D, E7, E, E, E, C, C, B, B, B, E, E, Em, Em, Em, Em, Em, E, Em, E, E, E, B, B, B, E, E, E, E7, F, F, F, F, E, E, D, D, A, A, E, E, E, E, E, E, E, B, B"
7,15.069750566893424,17.57750566893424,2.507755102040816,4,14,0.9804649841922193,B,"B, B, B, B, B, D, A, E, E, E7, D, D, F, E7, E, E, E, E, B, E, E, E, Em, C, B, B, B, B, B, B, B, F, F, B, B, B, F, F, E, B, D, D7, G, G, G, G, G, F, B, Dm, Dm, Dm, Bb, E7, D, Bm"
8,17.57750566893424,20.108480725623583,2.5309750566893428,4,16,0.9773202203118445,E,"D, Bm, Bm, Bm, D, D, B, Em, D, D, Em, Em, C, C, C, F, E7, Dm, Dm, D, D, Bm, Bm, Bm, Bb, Bb, Dm, Dm, A, Em, E, E, E, E, E, E, E, E, E, E, E, E, Em, E, E, Em, E, B, B, B, B, E, E, E, E"
9,20.108480725623583,22.639455782312925,2.5309750566893428,4,14,1.0,E7,"E, B, B, B, B, B, B, E, E, E7, E7, E, E, Em, A, A, A, Em, Em, Em, D, B, B, B, E, E, E, E, E7, E7, D, D, D, D, D, D, D, D, D, D, E, E, Dm, Dm, E7, E7, E7, E7, E, E7, E7, E7, E7, E7, E, E"
10,22.639455782312925,25.170430839002268,2.5309750566893428,4,13,0.9855595879157045,E,"E, E, E, E, E, B, E, E, E, E, E, E, E, B, A, A, A, A, A, D, D7, E, E, E, E, Em, Em, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E, G, G, G, G, B, B, B, B, B, B, E, E, E"
11,25.170430839002268,27.70140589569161,2.5309750566893428,4,16,0.9775220923012671,B,"E, E, B, B, B, B, B, Em, Em, E7, E7, E, E, B, D, D, B, B, B, B, Bb, Bb, Bb, Em, Em, Em, Em, A, D, D, E7, E7, E7, F, F, F, F, B, B, B, B, B, B, Fm, F, E7, E7, E7, B, B, B, E, Dm, Dm, Dm, D"
12,27.70140589569161,30.232380952380954,2.5309750566893428,4,15,1.0,E,"Dm, D, D, D, D, B, B, B, E, E, Dm, E7, E, C, A, A, Bm, Bm, B, B, B, B, Bb, F, E7, E, Dm, E7, Fm, B, B, E, E, E, E, E, E, E, E, E, E7, E7, E, E, E, B, Bb, Bb, B, E, E, E7, Dm, F"
13,30.232380952380954,32.76335600907029,2.530975056689339,4,15,1.0,Bm,"Dm, F, F, B, B, B, E, E, E, E, E, E, B, Bm, Bm, Bm, Bm, Em, Em, Bm, Bm, Bm, Bm, Bm, Bb, B, Bm, Bb, D, D, D, Bm, Bm, Bm, Bm, D, D, D, D, D, D, E, E, E, E, E, E, B, Dm, Dm, Dm, Dm, Dm, Dm, D, D"
14,32.76335600907029,35.27111111111111,2.507755102040818,4,14,1.0,B,"D, D, D, D, D, D, D, D, D, F, E7, E, E, B, B, B, B, B, B, B, E, B, B, B, E, E, E, G7, G7, Em, Fm, B, B, B, B, Em, Em, Em, E, E, E, E, E7, E7, E7, E7, E7, E, Bm, Bm, Bm, B, E, E, E, Dm"
15,35.27111111111111,37.82530612244898,2.5541950113378675,4,14,0.9598341520338854,D,"E, Dm, F, F, B, B, B, B, E, E, E, E, E, B, Bm, Bm, Bm, Bm, Em, Em, B, Bm, Bm, Bm, Bm, Bb, Bb, Bb, D, D, D, D, D, D, D, Bm, D, D, D, D, Bm, B, B, E, E, E, E, B, Dm, Dm, Dm, Dm, Dm, Dm, Dm, F, F"
16,37.82530612244898,40.35628117913832,2.5309750566893428,4,13,0.9654592835439226,E,"F, F, Dm, F, F, F, Dm, Dm, Dm, Dm, E, E, E, E, E, E, D7, D7, F, B, B, Bb, Bb, Bb, E7, E7, E7, E, E, E, E, E, E, E, E, E, E, E, E, E, E, E7, E, E, E, E, E, E, E, E, E, B, B, B, Bm, C"
17,40.35628117913832,42.86403628117914,2.507755102040818,4,15,0.9521547672662769,B,"C, Em, B, B, B, E, E7, Em, Em, E, E, E, E, D, D, D, B, B, B, B, B, B, B, B, B, E, E, E, E, D, D, D, D, D, D, D, D, D, D, D, B, B, B, B, B, B, B, B, E7, E7, D, D, D, D, B"
18,42.86403628117914,45.348571428571425,2.484535147392286,4,15,0.9645533158962399,E,"B, B, Dm, Dm, Dm, Dm, B, E, B, D, D, D, Dm, E, B, B, D, D, Em, Em, E, E, E, E, Dm, Dm, E, E, E, E, E, E, E7, E7, E, E, E, E, E, E7, E, E, E, E, E, B, B, B, B, E, E, E, E, E"
